Area Code,Item Code,Year,Area harvested,Production,Seed
8,486,1966,3.0,5.0,0.0
8,486,1967,6.0,8.0,0.0
8,486,1968,8.0,10.0,0.0
8,486,1969,10.0,12.0,0.0
8,486,1970,10.0,15.0,0.0
8,486,1971,16.0,18.0,0.0
8,486,1972,18.0,20.0,0.0
8,486,1973,6.0,8.0,0.0
8,486,1974,30.0,32.0,0.0
8,486,1975,10.0,12.0,0.0
8,486,1976,20.0,23.0,0.0
8,486,1977,9.0,11.0,0.0
8,486,1978,20.0,232.0,0.0
8,486,1979,12.0,152.0,0.0
8,486,1980,34.0,476.0,0.0
8,486,1981,36.0,514.0,0.0
8,486,1982,45.0,634.0,0.0
8,486,1983,5.0,47.0,0.0
8,486,1984,8.0,80.0,0.0
8,486,1985,8.0,70.0,0.0
8,486,1986,8.0,70.0,0.0
8,486,1987,8.0,70.0,0.0
8,486,1988,8.0,84.0,0.0
8,486,1989,9.0,100.0,0.0
8,486,1990,10.0,120.0,0.0
8,486,1991,12.0,130.0,0.0
8,486,1992,12.0,140.0,0.0
8,486,1993,12.0,138.0,0.0
8,486,1994,12.0,139.0,0.0
8,486,1995,12.0,139.0,0.0
8,486,1996,13.0,150.0,0.0
8,486,1997,14.0,156.0,0.0
8,486,1998,14.0,160.0,0.0
8,486,1999,15.0,170.0,0.0
8,486,2000,14.0,160.0,0.0
8,486,2001,16.0,180.0,0.0
8,486,2002,18.0,200.0,0.0
8,486,2003,19.0,210.0,0.0
8,486,2004,20.0,220.0,0.0
8,486,2005,21.0,215.0,0.0
8,486,2006,22.0,220.0,0.0
8,486,2007,22.0,220.0,0.0
8,486,2008,23.0,224.0,0.0
8,486,2009,25.0,227.0,0.0
8,486,2010,25.0,221.0,0.0
8,486,2011,28.0,240.0,0.0
8,486,2012,35.0,250.0,0.0
8,486,2013,33.0,255.0,0.0
8,486,2014,30.0,262.0,0.0
8,414,1961,1.0,4.0,0.0
8,414,1962,1.0,4.0,0.0
8,414,1963,2.0,6.0,0.0
8,414,1964,2.0,8.0,0.0
8,414,1965,2.0,10.0,0.0
8,414,1966,2.0,10.0,0.0
8,414,1967,5.0,20.0,0.0
8,414,1968,7.0,35.0,0.0
8,414,1969,10.0,45.0,0.0
8,414,1970,12.0,60.0,0.0
8,414,1971,15.0,80.0,0.0
8,414,1972,20.0,98.0,0.0
8,414,1973,7.0,35.0,0.0
8,414,1974,4.0,15.0,0.0
8,414,1975,6.0,28.0,0.0
8,414,1976,8.0,37.0,0.0
8,414,1977,5.0,20.0,0.0
8,414,1978,5.0,19.0,0.0
8,414,1979,10.0,43.0,0.0
8,414,1980,13.0,15.0,0.0
8,414,1981,25.0,22.0,0.0
8,414,1982,23.0,78.0,0.0
8,414,1983,13.0,54.0,0.0
8,414,1984,2.0,7.0,0.0
8,414,1985,22.0,99.0,0.0
8,414,1986,17.0,70.0,0.0
8,414,1987,9.0,34.0,0.0
8,414,1988,11.0,41.0,0.0
8,414,1989,12.0,45.0,0.0
8,414,1990,13.0,50.0,0.0
8,414,1991,15.0,60.0,0.0
8,414,1992,20.0,80.0,0.0
8,414,1993,18.0,69.0,0.0
8,414,1994,18.0,68.0,0.0
8,414,1995,18.0,65.0,0.0
8,414,1996,19.0,67.0,0.0
8,414,1997,19.0,68.0,0.0
8,414,1998,20.0,70.0,0.0
8,414,1999,20.0,71.0,0.0
8,414,2000,20.0,70.0,0.0
8,414,2001,21.0,75.0,0.0
8,414,2002,22.0,80.0,0.0
8,414,2003,24.0,90.0,0.0
8,414,2004,25.0,95.0,0.0
8,414,2005,24.0,91.0,0.0
8,414,2006,25.0,96.0,0.0
8,414,2007,24.0,92.0,0.0
8,414,2008,24.0,92.0,0.0
8,414,2009,24.0,92.0,0.0
8,414,2010,22.0,87.0,0.0
8,414,2011,24.0,94.0,0.0
8,414,2012,25.0,100.0,0.0
8,414,2013,25.0,98.0,0.0
8,414,2014,26.0,100.0,0.0
8,358,1961,2.0,8.0,0.0
8,358,1962,3.0,10.0,0.0
8,358,1963,3.0,12.0,0.0
8,358,1964,4.0,15.0,0.0
8,358,1965,5.0,20.0,0.0
8,358,1966,5.0,20.0,0.0
8,358,1967,7.0,30.0,0.0
8,358,1968,10.0,40.0,0.0
8,358,1969,15.0,60.0,0.0
8,358,1970,20.0,80.0,0.0
8,358,1971,25.0,100.0,0.0
8,358,1972,30.0,112.0,0.0
8,358,1973,14.0,53.0,0.0
8,358,1974,4.0,15.0,0.0
8,358,1975,3.0,10.0,0.0
8,358,1976,5.0,20.0,0.0
8,358,1977,2.0,7.0,0.0
8,358,1978,5.0,21.0,0.0
8,358,1979,35.0,144.0,0.0
8,358,1980,23.0,81.0,0.0
8,358,1981,30.0,98.0,0.0
8,358,1982,19.0,184.0,0.0
8,358,1983,20.0,166.0,0.0
8,358,1984,15.0,89.0,0.0
8,358,1985,18.0,117.0,0.0
8,358,1986,18.0,100.0,0.0
8,358,1987,16.0,93.0,0.0
8,358,1988,18.0,111.0,0.0
8,358,1989,18.0,115.0,0.0
8,358,1990,20.0,120.0,0.0
8,358,1991,21.0,122.0,0.0
8,358,1992,22.0,130.0,0.0
8,358,1993,21.0,120.0,0.0
8,358,1994,21.0,117.0,0.0
8,358,1995,20.0,100.0,0.0
8,358,1996,22.0,117.0,0.0
8,358,1997,23.0,118.0,0.0
8,358,1998,23.0,121.0,0.0
8,358,1999,24.0,124.0,0.0
8,358,2000,25.0,125.0,0.0
8,358,2001,25.0,128.0,0.0
8,358,2002,26.0,130.0,0.0
8,358,2003,28.0,140.0,0.0
8,358,2004,30.0,150.0,0.0
8,358,2005,29.0,140.0,0.0
8,358,2006,30.0,142.0,0.0
8,358,2007,30.0,140.0,0.0
8,358,2008,30.0,137.0,0.0
8,358,2009,30.0,136.0,0.0
8,358,2010,31.0,135.0,0.0
8,358,2011,31.0,134.0,0.0
8,358,2012,30.0,125.0,0.0
8,358,2013,32.0,133.0,0.0
8,358,2014,33.0,138.0,0.0
8,426,1961,1.0,3.0,0.0
8,426,1962,1.0,5.0,0.0
8,426,1963,2.0,8.0,0.0
8,426,1964,2.0,10.0,0.0
8,426,1965,2.0,10.0,0.0
8,426,1966,2.0,10.0,0.0
8,426,1967,3.0,15.0,0.0
8,426,1968,5.0,20.0,0.0
8,426,1969,6.0,28.0,0.0
8,426,1970,9.0,40.0,0.0
8,426,1971,12.0,50.0,0.0
8,426,1972,13.0,56.0,0.0
8,426,1973,6.0,27.0,0.0
8,426,1974,2.0,11.0,0.0
8,426,1975,3.0,14.0,0.0
8,426,1976,15.0,66.0,0.0
8,426,1977,15.0,61.0,0.0
8,426,1978,16.0,88.0,0.0
8,426,1979,23.0,147.0,0.0
8,426,1980,19.0,124.0,0.0
8,426,1981,23.0,178.0,0.0
8,426,1982,14.0,118.0,0.0
8,426,1983,35.0,148.0,0.0
8,426,1984,30.0,147.0,0.0
8,426,1985,30.0,138.0,0.0
8,426,1986,30.0,140.0,0.0
8,426,1987,35.0,148.0,0.0
8,426,1988,42.0,177.0,0.0
8,426,1989,45.0,180.0,0.0
8,426,1990,45.0,200.0,0.0
8,426,1991,52.0,220.0,0.0
8,426,1992,54.0,260.0,0.0
8,426,1993,52.0,229.0,0.0
8,426,1994,52.0,225.0,0.0
8,426,1995,52.0,210.0,0.0
8,426,1996,53.0,221.0,0.0
8,426,1997,53.0,223.0,0.0
8,426,1998,54.0,225.0,0.0
8,426,1999,55.0,227.0,0.0
8,426,2000,55.0,220.0,0.0
8,426,2001,57.0,233.0,0.0
8,426,2002,58.0,235.0,0.0
8,426,2003,58.0,235.0,0.0
8,426,2004,60.0,240.0,0.0
8,426,2005,64.0,247.0,0.0
8,426,2006,65.0,252.0,0.0
8,426,2007,65.0,260.0,0.0
8,426,2008,70.0,263.0,0.0
8,426,2009,73.0,269.0,0.0
8,426,2010,76.0,274.0,0.0
8,426,2011,79.0,279.0,0.0
8,426,2012,97.0,300.0,0.0
8,426,2013,85.0,285.0,0.0
8,426,2014,82.0,281.0,0.0
8,125,1961,3.0,10.0,0.0
8,125,1962,4.0,12.0,0.0
8,125,1963,5.0,14.0,0.0
8,125,1964,6.0,16.0,0.0
8,125,1965,7.0,18.0,0.0
8,125,1966,8.0,20.0,0.0
8,125,1967,12.0,30.0,0.0
8,125,1968,14.0,40.0,0.0
8,125,1969,16.0,60.0,0.0
8,125,1970,20.0,80.0,0.0
8,125,1971,37.0,120.0,0.0
8,125,1972,40.0,149.0,0.0
8,125,1973,18.0,69.0,0.0
8,125,1974,8.0,18.0,0.0
8,125,1975,15.0,38.0,0.0
8,125,1976,17.0,44.0,0.0
8,125,1977,15.0,33.0,0.0
8,125,1978,12.0,50.0,0.0
8,125,1979,30.0,129.0,0.0
8,125,1980,12.0,47.0,0.0
8,125,1981,19.0,107.0,0.0
8,125,1982,12.0,68.0,0.0
8,125,1983,10.0,44.0,0.0
8,125,1984,5.0,25.0,0.0
8,125,1985,10.0,55.0,0.0
8,125,1986,9.0,50.0,0.0
8,125,1987,6.0,31.0,0.0
8,125,1988,8.0,37.0,0.0
8,125,1989,8.0,40.0,0.0
8,125,1990,9.0,45.0,0.0
8,125,1991,10.0,50.0,0.0
8,125,1992,10.0,46.0,0.0
8,125,1993,10.0,46.0,0.0
8,125,1994,10.0,45.0,0.0
8,125,1995,9.0,40.0,0.0
8,125,1996,9.0,45.0,0.0
8,125,1997,10.0,46.0,0.0
8,125,1998,10.0,46.0,0.0
8,125,1999,10.0,42.0,0.0
8,125,2000,10.0,45.0,0.0
8,125,2001,10.0,45.0,0.0
8,125,2002,12.0,54.0,0.0
8,125,2003,15.0,60.0,0.0
8,125,2004,18.0,75.0,0.0
8,125,2005,17.0,74.0,0.0
8,125,2006,20.0,80.0,0.0
8,125,2007,19.0,85.0,0.0
8,125,2008,20.0,91.0,0.0
8,125,2009,21.0,97.0,0.0
8,125,2010,22.0,103.0,0.0
8,125,2011,22.0,109.0,0.0
8,125,2012,20.0,115.0,0.0
8,125,2013,24.0,120.0,0.0
8,125,2014,26.0,127.0,0.0
8,401,1963,1.0,3.0,0.0
8,401,1964,1.0,5.0,0.0
8,401,1965,2.0,8.0,0.0
8,401,1966,2.0,10.0,0.0
8,401,1967,3.0,14.0,0.0
8,401,1968,4.0,18.0,0.0
8,401,1969,5.0,20.0,0.0
8,401,1970,6.0,25.0,0.0
8,401,1971,7.0,30.0,0.0
8,401,1972,8.0,37.0,0.0
8,401,1973,5.0,19.0,0.0
8,401,1974,3.0,15.0,0.0
8,401,1975,3.0,13.0,0.0
8,401,1976,5.0,21.0,0.0
8,401,1977,2.0,9.0,0.0
8,401,1978,2.0,8.0,0.0
8,401,1979,2.0,11.0,0.0
8,401,1980,9.0,68.0,0.0
8,401,1981,10.0,89.0,0.0
8,401,1982,17.0,51.0,0.0
8,401,1983,14.0,56.0,0.0
8,401,1984,11.0,49.0,0.0
8,401,1985,8.0,27.0,0.0
8,401,1986,8.0,28.0,0.0
8,401,1987,8.0,29.0,0.0
8,401,1988,9.0,35.0,0.0
8,401,1989,10.0,30.0,0.0
8,401,1990,11.0,40.0,0.0
8,401,1991,12.0,50.0,0.0
8,401,1992,15.0,80.0,0.0
8,401,1993,14.0,66.0,0.0
8,401,1994,14.0,64.0,0.0
8,401,1995,13.0,60.0,0.0
8,401,1996,14.0,63.0,0.0
8,401,1997,14.0,64.0,0.0
8,401,1998,14.0,66.0,0.0
8,401,1999,15.0,68.0,0.0
8,401,2000,15.0,70.0,0.0
8,401,2001,16.0,75.0,0.0
8,401,2002,17.0,80.0,0.0
8,401,2003,18.0,90.0,0.0
8,401,2004,20.0,95.0,0.0
8,401,2005,19.0,90.0,0.0
8,401,2006,19.0,91.0,0.0
8,401,2007,19.0,91.0,0.0
8,401,2008,20.0,91.0,0.0
8,401,2009,20.0,92.0,0.0
8,401,2010,20.0,92.0,0.0
8,401,2011,20.0,93.0,0.0
8,401,2012,20.0,90.0,0.0
8,401,2013,20.0,96.0,0.0
8,401,2014,21.0,98.0,0.0
8,767,1961,21.0,127.0,0.0
8,767,1962,21.0,85.0,0.0
8,767,1963,21.0,70.0,0.0
8,767,1964,21.0,45.0,0.0
8,767,1965,21.0,50.0,0.0
8,767,1966,21.0,100.0,0.0
8,767,1967,21.0,82.0,0.0
8,767,1968,21.0,53.0,0.0
8,767,1969,21.0,55.0,0.0
8,767,1970,21.0,65.0,0.0
8,767,1971,21.0,70.0,0.0
8,767,1972,21.0,90.0,0.0
8,767,1973,21.0,117.0,0.0
8,767,1974,21.0,70.0,0.0
8,767,1975,21.0,95.0,0.0
8,767,1976,21.0,83.0,0.0
8,767,1977,21.0,75.0,0.0
8,767,1978,21.0,79.0,0.0
8,767,1979,21.0,50.0,0.0
8,767,1980,21.0,16.0,0.0
8,767,1981,21.0,6.0,0.0
8,767,1982,21.0,4.0,0.0
8,767,1983,21.0,5.0,0.0
8,767,1984,21.0,20.0,0.0
8,767,1985,21.0,72.0,0.0
8,767,1986,21.0,55.0,0.0
8,767,1987,21.0,55.0,0.0
8,767,1988,21.0,50.0,0.0
8,767,1989,21.0,40.0,0.0
8,767,1990,21.0,37.0,0.0
8,767,1991,21.0,32.0,0.0
8,767,1992,21.0,34.0,0.0
8,767,1993,21.0,29.0,0.0
8,767,1994,21.0,20.0,0.0
8,767,1995,21.0,25.0,0.0
8,767,1996,21.0,21.0,0.0
8,767,1997,21.0,18.0,0.0
8,767,1998,21.0,21.0,0.0
8,767,1999,21.0,20.0,0.0
8,767,2000,21.0,24.0,0.0
8,767,2001,21.0,27.0,0.0
8,767,2002,21.0,28.0,0.0
8,767,2003,21.0,30.0,0.0
8,767,2004,21.0,30.0,0.0
8,767,2005,21.0,30.0,0.0
8,767,2006,21.0,30.0,0.0
8,767,2007,21.0,30.0,0.0
8,767,2008,21.0,30.0,0.0
8,767,2009,21.0,30.0,0.0
8,767,2010,21.0,30.0,0.0
8,767,2011,21.0,30.0,0.0
8,767,2012,21.0,30.0,0.0
8,767,2013,21.0,30.0,0.0
8,767,2014,21.0,32.0,0.0
8,329,1961,21.0,266.0,11.0
8,329,1962,21.0,170.0,13.0
8,329,1963,21.0,139.0,8.0
8,329,1964,21.0,80.0,12.0
8,329,1965,21.0,100.0,24.0
8,329,1966,21.0,180.0,23.0
8,329,1967,21.0,164.0,12.0
8,329,1968,21.0,106.0,11.0
8,329,1969,21.0,105.0,12.0
8,329,1970,21.0,125.0,13.0
8,329,1971,21.0,140.0,17.0
8,329,1972,21.0,180.0,18.0
8,329,1973,21.0,230.0,11.0
8,329,1974,21.0,130.0,10.0
8,329,1975,21.0,190.0,13.0
8,329,1976,21.0,165.0,11.0
8,329,1977,21.0,150.0,11.0
8,329,1978,21.0,160.0,10.0
8,329,1979,21.0,100.0,6.0
8,329,1980,21.0,32.0,4.0
8,329,1981,21.0,12.0,5.0
8,329,1982,21.0,8.0,2.0
8,329,1983,21.0,10.0,9.0
8,329,1984,21.0,40.0,30.0
8,329,1985,21.0,165.0,27.0
8,329,1986,21.0,115.0,27.0
8,329,1987,21.0,115.0,26.0
8,329,1988,21.0,105.0,23.0
8,329,1989,21.0,85.0,23.0
8,329,1990,21.0,85.0,20.0
8,329,1991,21.0,68.0,20.0
8,329,1992,21.0,70.0,20.0
8,329,1993,21.0,70.0,20.0
8,329,1994,21.0,70.0,17.0
8,329,1995,21.0,55.0,17.0
8,329,1996,21.0,55.0,17.0
8,329,1997,21.0,55.0,17.0
8,329,1998,21.0,55.0,17.0
8,329,1999,21.0,55.0,18.0
8,329,2000,21.0,55.0,18.0
8,329,2001,21.0,58.0,20.0
8,329,2002,21.0,61.0,21.0
8,329,2003,21.0,63.0,21.0
8,329,2004,21.0,63.0,21.0
8,329,2005,21.0,63.0,21.0
8,329,2006,21.0,63.0,21.0
8,329,2007,21.0,60.0,21.0
8,329,2008,21.0,63.0,21.0
8,329,2009,21.0,63.0,21.0
8,329,2010,21.0,65.0,21.0
8,329,2011,21.0,65.0,21.0
8,329,2012,21.0,65.0,21.0
8,329,2013,21.0,65.0,21.0
8,329,2014,21.0,72.0,0.0
8,397,1961,1.0,2.0,0.0
8,397,1962,1.0,3.0,0.0
8,397,1963,1.0,4.0,0.0
8,397,1964,1.0,6.0,0.0
8,397,1965,1.0,8.0,0.0
8,397,1966,2.0,10.0,0.0
8,397,1967,4.0,20.0,0.0
8,397,1968,6.0,30.0,0.0
8,397,1969,10.0,45.0,0.0
8,397,1970,13.0,60.0,0.0
8,397,1971,16.0,80.0,0.0
8,397,1972,18.0,94.0,0.0
8,397,1973,17.0,87.0,0.0
8,397,1974,15.0,78.0,0.0
8,397,1975,19.0,98.0,0.0
8,397,1976,18.0,88.0,0.0
8,397,1977,15.0,62.0,0.0
8,397,1978,18.0,50.0,0.0
8,397,1979,35.0,135.0,0.0
8,397,1980,26.0,145.0,0.0
8,397,1981,29.0,156.0,0.0
8,397,1982,18.0,148.0,0.0
8,397,1983,16.0,140.0,0.0
8,397,1984,10.0,80.0,0.0
8,397,1985,32.0,275.0,0.0
8,397,1986,25.0,200.0,0.0
8,397,1987,18.0,135.0,0.0
8,397,1988,19.0,161.0,0.0
8,397,1989,21.0,180.0,0.0
8,397,1990,22.0,200.0,0.0
8,397,1991,25.0,230.0,0.0
8,397,1992,28.0,250.0,0.0
8,397,1993,26.0,231.0,0.0
8,397,1994,26.0,219.0,0.0
8,397,1995,26.0,200.0,0.0
8,397,1996,25.0,207.0,0.0
8,397,1997,25.0,208.0,0.0
8,397,1998,26.0,210.0,0.0
8,397,1999,27.0,212.0,0.0
8,397,2000,27.0,211.0,0.0
8,397,2001,27.0,205.0,0.0
8,397,2002,28.0,210.0,0.0
8,397,2003,29.0,220.0,0.0
8,397,2004,30.0,225.0,0.0
8,397,2005,30.0,204.0,0.0
8,397,2006,30.0,197.0,0.0
8,397,2007,30.0,188.0,0.0
8,397,2008,27.0,159.0,0.0
8,397,2009,22.0,122.0,0.0
8,397,2010,15.0,75.0,0.0
8,397,2011,18.0,86.0,0.0
8,397,2012,20.0,82.0,0.0
8,397,2013,21.0,86.0,0.0
8,397,2014,13.0,65.0,0.0
8,399,1961,1.0,7.0,0.0
8,399,1962,2.0,10.0,0.0
8,399,1963,2.0,12.0,0.0
8,399,1964,3.0,15.0,0.0
8,399,1965,4.0,18.0,0.0
8,399,1966,4.0,20.0,0.0
8,399,1967,6.0,30.0,0.0
8,399,1968,6.0,45.0,0.0
8,399,1969,12.0,60.0,0.0
8,399,1970,16.0,80.0,0.0
8,399,1971,20.0,100.0,0.0
8,399,1972,24.0,117.0,0.0
8,399,1973,18.0,91.0,0.0
8,399,1974,8.0,39.0,0.0
8,399,1975,9.0,47.0,0.0
8,399,1976,9.0,50.0,0.0
8,399,1977,6.0,29.0,0.0
8,399,1978,5.0,28.0,0.0
8,399,1979,6.0,31.0,0.0
8,399,1980,17.0,129.0,0.0
8,399,1981,22.0,133.0,0.0
8,399,1982,27.0,144.0,0.0
8,399,1983,12.0,78.0,0.0
8,399,1984,8.0,50.0,0.0
8,399,1985,20.0,156.0,0.0
8,399,1986,22.0,180.0,0.0
8,399,1987,28.0,207.0,0.0
8,399,1988,30.0,248.0,0.0
8,399,1989,28.0,200.0,0.0
8,399,1990,32.0,230.0,0.0
8,399,1991,34.0,250.0,0.0
8,399,1992,40.0,300.0,0.0
8,399,1993,37.0,269.0,0.0
8,399,1994,37.0,264.0,0.0
8,399,1995,37.0,250.0,0.0
8,399,1996,38.0,260.0,0.0
8,399,1997,38.0,263.0,0.0
8,399,1998,38.0,265.0,0.0
8,399,1999,37.0,260.0,0.0
8,399,2000,40.0,280.0,0.0
8,399,2001,40.0,285.0,0.0
8,399,2002,42.0,300.0,0.0
8,399,2003,45.0,320.0,0.0
8,399,2004,48.0,340.0,0.0
8,399,2005,49.0,337.0,0.0
8,399,2006,50.0,345.0,0.0
8,399,2007,52.0,350.0,0.0
8,399,2008,53.0,358.0,0.0
8,399,2009,55.0,364.0,0.0
8,399,2010,57.0,370.0,0.0
8,399,2011,60.0,388.0,0.0
8,399,2012,60.0,370.0,0.0
8,399,2013,60.0,378.0,0.0
8,399,2014,59.0,387.0,0.0
8,603,1961,59.0,5700.0,0.0
8,603,1962,59.0,5800.0,0.0
8,603,1963,59.0,5900.0,0.0
8,603,1964,59.0,6000.0,0.0
8,603,1965,59.0,6100.0,0.0
8,603,1966,59.0,6200.0,0.0
8,603,1967,59.0,6300.0,0.0
8,603,1968,59.0,6400.0,0.0
8,603,1969,59.0,6500.0,0.0
8,603,1970,59.0,6600.0,0.0
8,603,1971,59.0,6700.0,0.0
8,603,1972,59.0,6800.0,0.0
8,603,1973,59.0,6900.0,0.0
8,603,1974,59.0,7000.0,0.0
8,603,1975,59.0,7100.0,0.0
8,603,1976,59.0,7200.0,0.0
8,603,1977,59.0,7300.0,0.0
8,603,1978,59.0,7400.0,0.0
8,603,1979,59.0,7400.0,0.0
8,603,1980,59.0,7500.0,0.0
8,603,1981,59.0,7600.0,0.0
8,603,1982,59.0,7700.0,0.0
8,603,1983,59.0,7800.0,0.0
8,603,1984,59.0,7900.0,0.0
8,603,1985,1050.0,8000.0,0.0
8,603,1986,1050.0,8000.0,0.0
8,603,1987,1050.0,8000.0,0.0
8,603,1988,1050.0,8000.0,0.0
8,603,1989,950.0,6000.0,0.0
8,603,1990,851.0,6500.0,0.0
8,603,1991,916.0,7000.0,0.0
8,603,1992,929.0,7099.0,0.0
8,603,1993,939.0,7182.0,0.0
8,603,1994,946.0,7238.0,0.0
8,603,1995,946.0,7272.0,0.0
8,603,1996,953.0,7301.0,0.0
8,603,1997,980.0,7500.0,0.0
8,603,1998,958.0,7348.0,0.0
8,603,1999,990.0,7600.0,0.0
8,603,2000,1000.0,7650.0,0.0
8,603,2001,976.0,7484.0,0.0
8,603,2002,1010.0,7750.0,0.0
8,603,2003,1020.0,7800.0,0.0
8,603,2004,1030.0,7900.0,0.0
8,603,2005,650.0,5000.0,0.0
8,603,2006,700.0,5500.0,0.0
8,603,2007,800.0,6200.0,0.0
8,603,2008,850.0,6500.0,0.0
8,603,2009,889.0,6600.0,0.0
8,603,2010,950.0,6800.0,0.0
8,603,2011,950.0,6800.0,0.0
8,603,2012,941.0,6754.0,0.0
8,603,2013,913.0,6721.0,0.0
8,603,2014,920.0,6750.0,0.0
8,497,1966,920.0,10.0,0.0
8,497,1967,920.0,12.0,0.0
8,497,1968,920.0,17.0,0.0
8,497,1969,920.0,20.0,0.0
8,497,1970,920.0,27.0,0.0
8,497,1971,920.0,30.0,0.0
8,497,1972,920.0,54.0,0.0
8,497,1973,920.0,23.0,0.0
8,497,1974,920.0,15.0,0.0
8,497,1975,920.0,12.0,0.0
8,497,1976,920.0,16.0,0.0
8,497,1977,920.0,10.0,0.0
8,497,1978,920.0,12.0,0.0
8,497,1979,920.0,70.0,0.0
8,497,1980,920.0,14.0,0.0
8,497,1981,920.0,21.0,0.0
8,497,1982,920.0,15.0,0.0
8,497,1983,920.0,8.0,0.0
8,497,1984,920.0,143.0,0.0
8,497,1985,50.0,180.0,0.0
8,497,1986,50.0,200.0,0.0
8,497,1987,50.0,208.0,0.0
8,497,1988,60.0,249.0,0.0
8,497,1989,60.0,250.0,0.0
8,497,1990,75.0,270.0,0.0
8,497,1991,71.0,255.0,0.0
8,497,1992,77.0,280.0,0.0
8,497,1993,68.0,249.0,0.0
8,497,1994,66.0,242.0,0.0
8,497,1995,60.0,220.0,0.0
8,497,1996,63.0,235.0,0.0
8,497,1997,63.0,236.0,0.0
8,497,1998,63.0,237.0,0.0
8,497,1999,63.0,237.0,0.0
8,497,2000,60.0,225.0,0.0
8,497,2001,61.0,230.0,0.0
8,497,2002,65.0,250.0,0.0
8,497,2003,70.0,265.0,0.0
8,497,2004,75.0,285.0,0.0
8,497,2005,52.0,200.0,0.0
8,497,2006,78.0,300.0,0.0
8,497,2007,80.0,305.0,0.0
8,497,2008,81.0,324.0,0.0
8,497,2009,83.0,343.0,0.0
8,497,2010,90.0,381.0,0.0
8,497,2011,88.0,383.0,0.0
8,497,2012,88.0,420.0,0.0
8,497,2013,90.0,408.0,0.0
8,497,2014,91.0,409.0,0.0
8,56,1966,12.0,30.0,0.0
8,56,1967,8.0,18.0,0.0
8,56,1968,12.0,30.0,0.0
8,56,1969,20.0,45.0,0.0
8,56,1970,25.0,60.0,0.0
8,56,1971,35.0,80.0,0.0
8,56,1972,40.0,92.0,0.0
8,56,1973,14.0,28.0,0.0
8,56,1974,18.0,37.0,0.0
8,56,1975,32.0,60.0,0.0
8,56,1976,28.0,51.0,0.0
8,56,1977,18.0,30.0,0.0
8,56,1978,20.0,35.0,0.0
8,56,1979,50.0,96.0,0.0
8,56,1980,17.0,29.0,0.0
8,56,1981,25.0,45.0,0.0
8,56,1982,33.0,59.0,0.0
8,56,1983,38.0,68.0,0.0
8,56,1984,17.0,29.0,0.0
8,56,1985,20.0,38.0,0.0
8,56,1986,21.0,40.0,0.0
8,56,1987,25.0,48.0,0.0
8,56,1988,28.0,57.0,0.0
8,56,1989,28.0,60.0,0.0
8,56,1990,29.0,50.0,0.0
8,56,1991,30.0,55.0,0.0
8,56,1992,30.0,51.0,0.0
8,56,1993,30.0,50.0,0.0
8,56,1994,30.0,49.0,0.0
8,56,1995,28.0,45.0,0.0
8,56,1996,30.0,49.0,0.0
8,56,1997,30.0,49.0,0.0
8,56,1998,30.0,49.0,0.0
8,56,1999,31.0,50.0,0.0
8,56,2000,30.0,48.0,0.0
8,56,2001,31.0,51.0,0.0
8,56,2002,32.0,50.0,0.0
8,56,2003,35.0,55.0,0.0
8,56,2004,38.0,60.0,0.0
8,56,2005,38.0,61.0,0.0
8,56,2006,40.0,65.0,0.0
8,56,2007,41.0,65.0,0.0
8,56,2008,42.0,68.0,0.0
8,56,2009,42.0,66.0,0.0
8,56,2010,40.0,63.0,0.0
8,56,2011,45.0,72.0,0.0
8,56,2012,44.0,70.0,0.0
8,56,2013,45.0,72.0,0.0
8,56,2014,46.0,74.0,0.0
8,571,1966,46.0,20.0,0.0
8,571,1967,46.0,45.0,0.0
8,571,1968,46.0,60.0,0.0
8,571,1969,46.0,70.0,0.0
8,571,1970,46.0,100.0,0.0
8,571,1971,46.0,120.0,0.0
8,571,1972,46.0,138.0,0.0
8,571,1973,46.0,35.0,0.0
8,571,1974,46.0,38.0,0.0
8,571,1975,46.0,277.0,0.0
8,571,1976,46.0,125.0,0.0
8,571,1977,46.0,290.0,0.0
8,571,1978,46.0,172.0,0.0
8,571,1979,46.0,361.0,0.0
8,571,1980,46.0,454.0,0.0
8,571,1981,46.0,1020.0,0.0
8,571,1982,46.0,540.0,0.0
8,571,1983,46.0,281.0,0.0
8,571,1984,46.0,424.0,0.0
8,571,1985,180.0,918.0,0.0
8,571,1986,180.0,1000.0,0.0
8,571,1987,210.0,1245.0,0.0
8,571,1988,230.0,1494.0,0.0
8,571,1989,230.0,1500.0,0.0
8,571,1990,265.0,1458.0,0.0
8,571,1991,291.0,1600.0,0.0
8,571,1992,262.0,1440.0,0.0
8,571,1993,259.0,1422.0,0.0
8,571,1994,256.0,1406.0,0.0
8,571,1995,236.0,1300.0,0.0
8,571,1996,253.0,1389.0,0.0
8,571,1997,253.0,1391.0,0.0
8,571,1998,254.0,1394.0,0.0
8,571,1999,254.0,1394.0,0.0
8,571,2000,240.0,1335.0,0.0
8,571,2001,239.0,1350.0,0.0
8,571,2002,245.0,1400.0,0.0
8,571,2003,250.0,1375.0,0.0
8,571,2004,260.0,1430.0,0.0
8,571,2005,260.0,1429.0,0.0
8,571,2006,261.0,1429.0,0.0
8,571,2007,263.0,1430.0,0.0
8,571,2008,270.0,1500.0,0.0
8,571,2009,270.0,1550.0,0.0
8,571,2010,270.0,1500.0,0.0
